answer_id,username,dataID,videoID
62,王思,20220929,1072
62,王思,20220929,1073
62,王思,20220929,1074
62,王思,20220929,1075
62,王思,20220929,1076
62,王思,20220929,1077
62,王思,20220929,1078
62,王思,20220929,1079
62,王思,20220929,1080
62,王思,20220929,1081
62,王思,20220929,1082
62,王思,20220929,1083
62,王思,20220929,1084
62,王思,20220929,1085
62,王思,20220929,1086
62,王思,20220929,1087
62,王思,20220929,1088
62,王思,20220929,1089
62,王思,20220929,1090


33,窦子昊,20220927,435
33,窦子昊,20220927,436
33,窦子昊,20220927,437
33,窦子昊,20220927,438
33,窦子昊,20220927,439
33,窦子昊,20220927,440
33,窦子昊,20220927,441
33,窦子昊,20220927,442
33,窦子昊,20220927,443
33,窦子昊,20220927,444
33,窦子昊,20220927,445
33,窦子昊,20220927,446
33,窦子昊,20220927,447
33,窦子昊,20220927,448
33,窦子昊,20220927,449


27,咪咪,20220922,339
27,咪咪,20220922,340
27,咪咪,20220922,341
27,咪咪,20220922,342
27,咪咪,20220922,343
27,咪咪,20220922,344
27,咪咪,20220922,345
27,咪咪,20220922,346
27,咪咪,20220922,347
27,咪咪,20220922,348
27,咪咪,20220922,349
27,咪咪,20220922,350
27,咪咪,20220922,351
27,咪咪,20220922,352
27,咪咪,20220922,353

57,咪咪,20220929,918
57,咪咪,20220929,919
57,咪咪,20220929,920
57,咪咪,20220929,921
57,咪咪,20220929,922
57,咪咪,20220929,923
57,咪咪,20220929,924
57,咪咪,20220929,925
57,咪咪,20220929,926
57,咪咪,20220929,927
57,咪咪,20220929,928
57,咪咪,20220929,929
57,咪咪,20220929,930
57,咪咪,20220929,931
57,咪咪,20220929,932
57,咪咪,20220929,933
57,咪咪,20220929,934
57,咪咪,20220929,935
57,咪咪,20220929,936
57,咪咪,20220929,937
57,咪咪,20220929,938
57,咪咪,20220929,939
57,咪咪,20220929,940
57,咪咪,20220929,941
57,咪咪,20220929,942
57,咪咪,20220929,943
57,咪咪,20220929,944
57,咪咪,20220929,945



25,刘建春,20220922,307
25,刘建春,20220922,308
25,刘建春,20220922,309
25,刘建春,20220922,310
25,刘建春,20220922,311
25,刘建春,20220922,312
25,刘建春,20220922,313
25,刘建春,20220922,314
25,刘建春,20220922,315
25,刘建春,20220922,316
25,刘建春,20220922,317
25,刘建春,20220922,318
25,刘建春,20220922,319
25,刘建春,20220922,320
25,刘建春,20220922,321

30,刘建春,20220923,387
30,刘建春,20220923,388
30,刘建春,20220923,389
30,刘建春,20220923,390
30,刘建春,20220923,391
30,刘建春,20220923,392
30,刘建春,20220923,393
30,刘建春,20220923,394
30,刘建春,20220923,395
30,刘建春,20220923,396
30,刘建春,20220923,397
30,刘建春,20220923,398
30,刘建春,20220923,399
30,刘建春,20220923,400
30,刘建春,20220923,401

